Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,3rd,No,Student,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,a,c,e,b,b,b,a,e,a,d,b,d,c,a,a,b,b,e,d,e,b,b,d,a,e,c,e,b,c
Woman,No Answer,No Answer,4th,Yes,Student,Yes,,Yes,c,a,c,e,b,a,b,b,c,b,b,b,c,d,a,c,a,b,e,c,e,d,d,c,d,d,c,e,b,e,c,b,c,e,d,b,a,d,e,a,c,c,b,a,c,a,a,d,e,c,e,d,a,a,c,a,c,e,b,c
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,Yes,c,a,c,e,c,b,b,b,e,d,b,c,c,b,a,a,b,e,e,d,d,d,b,a,d,b,c,e,a,e,c,a,c,e,c,d,b,b,c,a,c,d,d,b,c,a,a,b,e,c,a,a,b,a,d,b,c,e,d,e
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,d,d,c,a,c,b,b,a,b,c,a,b,b,b,b,c,a,c,d,a,e,e,c,c,e,b,c,d,b,e,c,d,c,e,c,b,b,a,c,a,c,b,c,b,c,c,a,b,e,d,b,a,b,a,e,b,c,d,b,e
Woman,Not of Hispanic/Latinx/Spanish origin,"White,Black or African American",2nd,No,Student,Yes,,Yes,c,a,a,e,e,b,b,b,e,a,d,b,c,a,a,a,a,e,a,c,e,d,d,a,d,b,b,e,b,e,c,b,a,e,c,b,a,b,b,a,c,c,b,a,a,a,a,d,a,c,d,b,d,a,d,a,a,e,b,e
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,c,b,a,a,b,b,b,b,e,a,d,b,d,d,c,a,b,b,a,d,b,b,c,a,c,e,c,d,b,c,c,a,c,e,b,b,b,a,b,c,d,b,d,d,a,a,b,b,e,d,b,b,c,a,c,b,c,e,b,a
Woman,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,Yes,,Yes,c,c,c,e,e,b,c,e,a,a,b,b,d,a,a,a,b,b,d,b,d,a,d,a,c,a,b,e,b,b,c,b,b,e,b,b,b,b,e,a,d,b,d,d,a,a,b,b,e,d,e,b,b,a,c,a,c,e,b,c
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,c,a,b,e,d,b,e,b,b,a,a,b,b,a,a,a,b,c,e,d,e,b,b,a,c,a,a,e,b,c,c,a,c,e,b,a,b,b,e,a,c,b,d,a,a,a,a,b,a,b,e,b,b,a,c,a,a,e,a,b
No Answer,Not of Hispanic/Latinx/Spanish origin,White,4th,No,Student,Yes,,Yes,c,d,c,e,c,b,b,b,c,a,b,c,b,b,c,a,d,c,d,e,c,a,d,a,b,b,a,d,b,e,c,a,a,a,e,b,b,b,b,e,c,b,a,b,c,c,a,d,e,c,c,a,a,a,b,b,b,d,b,e
Man,Not of Hispanic/Latinx/Spanish origin,Black or African American,2nd,No,Student,Yes,,Yes,c,a,c,e,d,b,b,b,c,c,c,d,c,a,a,c,d,d,c,d,b,a,b,d,b,b,d,b,b,b,c,a,b,a,d,b,c,a,e,d,c,c,c,a,a,b,a,d,d,a,b,a,c,a,d,a,a,e,b,e
Man,Dominican,White,3rd,No,Student,Yes,,Yes,c,a,a,a,c,b,c,a,a,e,c,b,a,a,a,a,a,d,a,c,b,a,c,c,e,a,a,d,a,e,c,a,a,e,c,b,c,a,a,a,b,b,a,c,a,a,a,d,e,c,b,a,a,a,b,a,a,e,b,c
"Man,Genderqueer/Gender non-conforming",Not of Hispanic/Latinx/Spanish origin,"White,An Asian race not listed",4th,No,Student,Yes,,Yes,c,d,c,e,c,b,b,b,e,a,e,b,c,c,a,a,a,c,e,d,e,a,d,c,d,b,c,e,d,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,4th,No,Student,Yes,,Yes,c,a,d,a,c,a,b,a,b,a,c,b,c,a,c,b,a,e,e,c,b,d,c,a,e,a,c,d,d,e,a,b,b,a,b,a,b,a,b,e,c,b,c,a,c,c,a,d,d,c,b,a,c,a,d,b,c,d,b,a
Woman,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,Yes,d,d,a,a,c,c,b,e,d,a,b,b,a,a,b,b,a,c,d,a,d,a,d,a,b,a,a,b,a,e,c,a,d,a,c,b,b,b,b,a,d,b,b,b,b,b,d,d,b,c,d,d,c,c,c,b,d,d,b,e
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,I do not know,a,c,b,a,c,b,e,a,b,a,b,c,b,a,b,c,a,d,d,c,c,b,a,a,e,a,a,d,d,b,c,a,c,e,e,a,b,e,e,a,c,d,b,a,c,c,a,e,e,a,d,d,e,d,e,b,a,b,b,e
