Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
B,D,F,F,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,C,B,E,A,B,A,A,C,C,C,C,B,D,F,F,D,B,B,E,D,A,A,A,A,E,E,A,B,B,B,G,A,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,A,A,F,B,D,B,B,A,A
A,B,F,G,B,B,F,E,D,A,E,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,G,B,E,B,F,D,A,E,D,A,A,E,C,B,H,D,G,F,A,G,B,F,E,E,D,A,A,F,B,E,B,B,C,A,B,E,A,F,B,D,B,B,A,A
B,D,G,A,B,C,E,B,E,C,E,G,B,A,E,C,G,C,B,F,H,E,G,B,F,E,E,D,A,A,J,A,B,C,A,B,D,C,B,A,F,B,D,A,B,C,D,B,B,C,G,B,C,E,F,D,B,F,D,B,A,E,C,D,H,D,F,G,E,G,D,F,E,F,D,B,A,E,D,A,B,B,C,A,B,B,D,H,C,D,A,A,B,B
B,A,C,F,G,E,D,F,E,B,F,D,A,A,E,C,H,D,G,F,J,A,D,F,G,E,F,D,C,A,B,F,A,B,C,E,A,J,D,A,F,C,D,C,D,B,J,A,B,C,G,D,F,E,F,E,C,F,D,B,A,E,C,H,D,A,H,F,E,G,D,F,A,F,D,C,A,D,B,E,B,A,C,J,B,D,A,F,C,D,A,J,B,A
A,B,C,E,D,G,B,G,D,B,G,D,B,A,E,C,B,H,D,F,H,E,F,C,E,C,G,D,B,A,F,E,E,B,B,C,A,B,E,A,F,B,A,A,A,D,D,B,D,F,F,D,B,B,A,D,B,G,D,B,A,E,C,B,H,D,F,H,A,B,C,F,C,A,A,A,A,F,B,E,B,A,C,A,B,E,A,F,B,D,A,A,C,C
B,C,D,F,D,E,D,F,D,B,D,A,C,E,E,A,E,B,A,F,J,A,G,B,F,C,G,D,B,E,B,F,E,J,B,C,A,J,D,A,F,B,J,B,D,D,D,B,D,F,F,D,C,B,E,D,A,A,A,A,A,E,A,B,B,B,F,A,A,B,C,A,C,A,A,A,A,F,E,E,B,A,A,A,J,E,A,F,B,D,D,B,C,B
B,D,F,F,D,B,B,E,C,B,C,G,C,B,E,A,C,F,J,H,D,B,D,A,C,G,G,E,C,A,E,B,B,D,A,C,J,D,C,C,B,H,D,A,B,C,E,B,D,F,F,D,B,B,B,B,B,A,A,A,E,E,A,E,A,A,E,E,A,B,C,B,C,A,A,A,E,B,A,E,B,A,A,A,A,B,A,A,D,A,J,C,J,J
G,C,E,G,B,A,C,G,D,B,G,D,B,E,E,C,D,D,D,F,E,E,F,C,F,C,G,D,B,A,B,F,A,A,A,C,E,B,C,E,F,J,D,B,B,A,A,B,C,F,F,E,B,B,E,A,A,A,A,A,E,E,A,B,B,B,H,E,A,B,C,B,C,A,A,A,E,E,E,E,E,A,A,A,A,E,A,F,B,D,B,B,A,A
A,B,E,F,B,C,C,G,D,B,G,D,B,A,E,C,B,H,D,F,H,E,G,B,F,A,C,D,F,A,E,B,E,B,B,C,A,B,E,A,F,B,D,A,A,C,C,A,B,C,G,B,E,E,G,D,B,G,D,B,A,E,C,B,H,D,F,E,A,B,C,B,C,A,D,A,E,E,E,E,E,A,C,A,B,E,A,H,B,D,B,B,A,A
B,A,C,G,D,C,A,G,D,B,G,D,B,A,E,C,B,H,B,F,A,E,G,F,B,A,G,D,B,A,F,A,E,B,B,C,A,B,C,A,F,B,D,D,C,A,A,A,D,E,G,B,C,F,G,D,C,G,D,B,A,E,C,B,H,D,F,H,A,B,C,B,C,C,D,B,A,F,B,E,B,B,C,A,B,E,A,F,B,D,B,B,A,A
A,B,C,F,B,C,E,F,D,B,G,D,A,A,E,C,D,F,B,H,F,E,F,C,J,J,G,D,B,A,F,B,E,B,B,C,A,J,B,A,C,F,D,A,A,J,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,C,G,B,F,E,F,D,B,F,D,B,C,E,A,D,J,G,F,C,E,D,F,J,A,E,D,B,A,F,B,E,B,E,C,J,B,D,D,C,J,D,A,A,D,D,A,B,C,G,F,E,E,F,D,B,F,D,B,A,E,C,H,C,C,F,G,E,G,E,G,A,F,D,B,A,F,B,E,B,B,C,C,B,D,A,J,D,D,A,A,A,C
A,B,F,G,D,G,C,G,D,B,G,D,B,A,E,C,B,D,H,F,G,E,F,B,G,C,G,D,F,A,A,A,F,B,B,C,A,B,D,A,F,B,D,A,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
