Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
Man,Not of Hispanic/Latinx/Spanish origin,"White,Black or African American",2nd,No,Student,Yes,,No,a,e,c,c,b,f,b,f,c,g,b,f,c,e,d,e,g,c,e,h,c,h,d,f,b,h,f,b,f,d,e,a,f,b,e,c,f,d,b,b,g,c,b,d,a,d,a,c,c,d,f,d,f,d,b,e,g,f,c,d,f,c,g,g,e,f,c,d,f,g,g,d,f,f,d,f,d,c,e,f,b,d,e,c,e,c,g,f,g,e,c,c,c,d
Woman,No Answer,No Answer,2nd,No,Student,Yes,,Yes,b,e,d,b,e,d,a,a,d,d,h,c,b,a,c,c,e,e,b,i,e,b,g,d,c,e,c,f,f,b,a,c,e,d,a,b,e,a,b,d,g,a,g,b,e,d,a,b,b,d,e,d,b,e,d,f,a,b,b,d,e,b,c,b,e,h,e,h,g,d,b,e,e,a,b,c,b,a,g,d,a,b,e,c,d,d,h,i,h,g,c,b,b,c
Man,Not of Hispanic/Latinx/Spanish origin,"White,Middle Eastern or North African",1st,No,Student,Yes,,Yes,b,b,f,g,d,c,f,e,d,a,e,d,a,e,e,a,e,b,b,f,i,a,b,c,b,c,e,d,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a,b,d,f,f,d,b,b,a,d,a,a,d,a,e,e,a,e,b,b,g,f,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Woman,Not of Hispanic/Latinx/Spanish origin,An Asian race not listed,2nd,No,Student,No,,Yes,a,b,c,g,f,e,f,d,f,a,g,b,g,b,c,f,a,i,b,f,f,d,h,a,e,g,e,f,b,f,d,g,a,f,b,b,a,e,e,h,e,h,a,e,b,c,d,b,d,c,a,e,b,h,c,b,f,g,b,c,d,d,e,b,a,g,d,e,e,c,g,d,f,b,c,a,b,a,c,b,b,a,c,a,c,b,c,a,a,e,b,b,b,c
No Answer,No Answer,No Answer,2nd,No,Student,No,,Yes,a,b,c,g,b,c,e,e,d,b,e,d,b,a,e,c,f,e,d,f,e,c,a,d,a,c,a,d,e,d,c,b,b,d,b,c,f,c,c,d,f,b,d,c,a,b,e,a,b,f,d,d,b,b,a,a,a,a,a,a,b,e,c,b,h,d,f,a,a,b,c,a,c,a,d,a,e,e,d,e,e,c,b,c,a,d,c,e,c,b,b,b,a,a
Woman,Not of Hispanic/Latinx/Spanish origin,South Asian,2nd,No,Student,Yes,,Yes,a,b,c,g,h,c,e,f,d,a,f,d,a,c,e,a,h,h,d,f,a,e,g,f,f,a,f,d,b,c,b,b,g,b,d,c,c,b,b,a,f,b,d,a,a,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,a,b,a,f,e,e,e,g,d,b,g,d,b,a,e,c,b,g,d,f,f,e,g,b,f,a,g,d,b,a,e,b,e,b,a,c,d,b,e,a,f,b,d,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,Yes,a,d,b,c,b,f,e,d,h,c,g,d,c,c,a,c,h,h,b,f,f,e,d,f,g,a,g,g,b,e,b,b,f,b,b,c,e,d,d,d,g,c,d,a,c,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Middle Eastern or North African,2nd,No,Student,Yes,,Yes,c,d,e,a,f,b,d,a,f,e,c,g,b,g,c,a,h,f,a,g,d,c,a,d,d,d,d,b,a,b,b,d,c,b,a,d,c,a,c,b,d,b,a,b,a,c,a,d,c,d,f,e,a,b,c,d,d,f,g,d,a,b,d,f,f,b,g,h,i,c,a,d,g,d,f,e,c,c,d,c,b,a,d,c,a,b,f,e,b,a,c,c,d,c
Woman,No Answer,No Answer,2nd,No,Student,Yes,,Yes,h,h,h,h,h,h,h,h,h,h,h,h,h,i,i,i,i,i,i,i,i,i,d,d,i,b,f,d,d,e,d,b,d,e,b,d,e,c,b,f,e,d,d,d,d,b,c,e,g,e,d,g,c,d,b,c,d,f,e,d,g,g,h,i,c,f,e,g,f,g,f,h,f,d,d,f,d,c,f,g,e,c,d,e,f,e,e,g,g,h,c,d,b,d
