Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
A,B,B,A,D,B,A,B,B,D,C,D,B,B,A,C,C,E,D,A,C,B,A,A,B,B,,,,
C,A,B,A,C,D,B,D,E,D,B,B,D,B,B,A,A,B,B,C,B,D,D,D,A,C,B,D,B,C
C,A,C,E,B,B,B,B,C,A,D,B,D,B,A,A,B,B,E,D,E,B,B,A,D,A,B,E,B,C
C,A,A,A,C,B,B,B,E,A,C,B,C,A,C,A,B,B,D,C,E,B,D,C,D,B,A,E,B,E
C,A,C,E,B,B,D,D,E,A,D,B,D,D,A,A,A,B,E,C,D,A,B,A,D,B,C,E,B,C
C,A,C,A,B,B,B,A,C,D,C,D,C,A,B,C,A,C,B,C,A,E,D,C,D,C,B,B,B,D
C,A,C,E,B,B,B,B,E,A,D,B,D,D,A,A,B,B,E,D,E,B,C,C,C,C,C,C,C,C
C,A,C,A,B,A,D,A,B,A,C,C,C,C,C,A,B,B,E,B,E,B,C,A,C,E,E,E,E,E
B,D,E,E,D,B,E,A,A,A,C,C,B,B,C,A,D,E,D,C,B,A,C,E,D,B,C,D,D,E
C,A,B,E,B,B,B,B,E,A,D,B,D,D,A,A,B,B,E,C,E,B,B,A,D,A,C,E,B,C
B,A,A,A,B,B,B,A,D,D,D,C,D,D,C,A,A,B,D,D,B,B,C,A,D,E,B,D,B,A
A,A,C,E,B,B,B,B,E,A,C,B,C,D,A,A,A,B,E,D,C,A,D,A,D,A,A,E,D,E
C,A,B,E,A,B,A,B,B,D,C,C,B,D,B,E,C,B,C,B,D,B,C,D,B,D,A,D,A,C
C,A,C,A,B,B,E,E,B,E,D,B,C,A,C,A,A,D,E,D,E,B,A,B,B,B,A,D,B,E
C,A,E,E,C,A,A,A,B,C,C,B,C,A,B,C,A,C,A,B,B,E,B,C,A,C,E,B,D,A
C,A,C,E,B,B,B,B,E,A,D,B,D,A,C,A,A,B,D,D,E,D,B,A,C,A,D,A,B,E
C,A,A,A,C,C,C,D,D,C,C,B,C,B,C,C,A,D,D,A,E,B,D,C,E,D,A,C,B,E
C,A,B,E,D,B,B,E,B,C,A,B,D,D,A,A,B,B,E,D,A,A,C,A,B,C,A,E,B,E
C,A,C,A,B,A,D,A,B,A,C,B,C,C,A,A,B,B,D,B,C,A,B,A,D,A,A,D,B,E
B,C,B,E,B,B,B,B,C,A,C,B,C,C,A,A,A,D,E,D,C,A,B,C,D,B,C,D,B,B
B,A,A,A,D,B,B,E,E,E,C,B,D,C,A,C,A,B,E,D,E,A,A,E,B,C,A,C,B,A
A,A,C,E,B,B,B,B,C,A,D,B,D,D,C,A,B,B,E,B,E,B,B,A,C,B,C,D,B,C
A,A,B,A,C,B,B,B,A,D,E,C,A,B,C,A,A,B,B,C,D,B,A,A,B,D,A,D,B,B
A,E,C,A,D,C,B,A,E,C,C,C,B,A,A,C,C,E,C,C,D,D,D,C,C,B,E,D,B,B
C,A,C,A,B,B,B,B,E,A,D,B,D,D,B,A,B,B,E,B,E,B,C,A,C,E,A,E,B,E
B,A,C,A,C,B,B,D,E,D,C,B,C,A,C,A,A,E,E,A,E,E,E,A,D,A,A,D,B,E
C,B,C,E,B,B,B,E,E,A,D,B,D,B,A,A,D,B,D,D,E,B,E,A,D,A,C,E,B,C
B,B,A,B,B,A,B,B,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B
D,D,C,A,D,B,A,A,E,D,B,B,B,D,C,C,A,D,C,A,B,D,D,C,C,B,C,B,B,B
A,A,B,A,D,B,B,B,E,A,C,B,C,A,C,A,A,D,D,C,C,A,A,C,E,A,A,D,D,E
A,B,C,D,B,B,A,B,D,A,D,B,C,B,C,A,A,B,D,C,B,B,C,A,D,A,B,D,B,E
C,B,C,A,D,B,E,A,B,A,C,B,C,B,A,A,A,D,C,D,C,B,D,E,A,A,A,D,B,E
B,A,A,A,D,B,B,E,E,E,C,B,D,C,A,C,A,B,D,C,D,A,A,D,B,C,A,C,B,A
C,A,A,A,B,B,B,A,B,A,D,C,D,B,B,A,B,B,B,C,C,A,C,A,C,B,C,D,B,C
B,B,E,A,A,B,C,B,C,A,C,B,C,A,C,A,A,B,D,C,A,D,D,A,D,B,C,D,B,B
B,B,C,A,B,A,E,E,D,A,C,B,D,B,C,C,A,B,E,A,E,A,A,A,D,A,C,E,B,C
C,A,C,A,B,B,B,D,E,A,D,B,D,B,C,C,A,B,E,D,C,A,D,C,D,B,A,D,B,E
C,B,C,A,B,A,B,E,D,A,C,B,D,D,B,D,A,B,E,A,A,A,E,A,B,D,C,B,C,C
B,A,B,A,E,C,E,A,B,E,D,B,B,A,C,A,B,B,D,B,D,C,A,C,B,D,C,B,B,D
B,B,B,A,B,B,B,B,A,A,D,B,A,A,A,A,A,B,D,C,E,B,B,A,B,A,C,D,B,E
C,A,C,E,B,B,B,B,E,A,D,B,D,D,A,A,B,B,E,D,E,B,B,A,C,C,B,E,B,C
C,A,C,E,B,B,B,B,E,A,D,B,D,D,A,A,B,B,E,D,E,B,D,A,C,E,B,E,D,C
C,A,B,E,E,B,E,B,E,A,C,B,B,A,A,D,A,B,A,C,D,A,B,A,E,A,A,E,C,E
