Gender,Ethnicity,Race,Year,LA For Other Course,Student/LA/TA/Faculty,First Time Student/LA,Time With LA (Min/Week),Parent Has 4-Year Degree,Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Pre-31,Pre-32,Pre-33,Pre-34,Pre-35,Pre-36,Pre-37,Pre-38,Pre-39,Pre-40,Pre-41,Pre-42,Pre-43,Pre-44,Pre-45,Pre-46,Pre-47,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30,Post-31,Post-32,Post-33,Post-34,Post-35,Post-36,Post-37,Post-38,Post-39,Post-40,Post-41,Post-42,Post-43,Post-44,Post-45,Post-46,Post-47
Man,Mexican/Mexican American/Chicano/Chicana,White,1st,No,Student,Yes,,No,a,g,c,a,a,d,a,c,d,a,e,a,b,a,b,a,a,g,b,a,c,g,a,a,a,d,e,a,b,a,c,a,c,a,d,b,a,b,c,a,d,a,e,a,b,a,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Mexican/Mexican American/Chicano/Chicana,White,1st,No,Student,Yes,,Yes,b,d,f,f,d,b,a,e,d,b,g,d,b,a,e,c,b,h,d,f,h,a,g,b,f,c,g,d,b,a,f,f,e,a,b,c,c,b,d,a,f,b,d,a,a,c,b,a,b,f,g,b,b,b,g,d,b,a,a,a,a,e,c,b,h,d,f,b,a,b,c,b,c,a,a,a,a,f,f,e,f,a,c,a,b,d,a,c,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,"White,Vietnamese",2nd,No,Student,No,,No,a,b,c,e,b,a,f,f,d,c,g,d,b,a,e,c,b,h,g,f,f,e,g,b,f,a,g,d,b,e,a,a,e,b,b,a,a,b,e,a,f,b,d,b,c,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,White,1st,No,Student,Yes,,Yes,a,b,c,g,b,c,e,g,d,b,g,d,b,a,e,c,b,h,d,f,c,a,g,c,b,c,g,d,b,a,f,b,e,b,b,c,c,f,d,a,b,b,d,a,a,c,c,b,f,f,g,a,c,b,b,d,a,g,b,a,e,d,a,e,a,b,f,h,a,a,c,b,c,g,b,a,b,d,e,b,a,f,a,f,d,d,a,b,b,d,a,a,a,a
Man,Not of Hispanic/Latinx/Spanish origin,White,1st,No,Student,Yes,,Yes,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,c,a,b,e,a,f,b,d,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,1st,No,Student,Yes,,Yes,a,d,c,g,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,f,c,b,b,c,b,c,a,a,a,a,e,e,e,e,f,b,a,b,d,b,b,b,d,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,b,c,a,b,e,a,f,b,d,a,a,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,e,b,e,a,b,b,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Answer,No Answer,No Answer,2nd,No,Student,Yes,,No Answer,b,d,f,f,d,b,b,a,a,a,a,a,a,i,e,a,i,g,b,g,e,a,b,c,b,c,a,a,a,g,e,e,e,e,a,c,a,b,a,a,f,b,d,b,b,a,a,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,c,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,b,a,f,g,b,c,b,g,d,b,g,d,b,a,e,c,h,i,g,f,f,e,d,b,f,e,g,d,b,a,a,b,e,c,b,d,d,c,d,a,e,d,d,a,a,c,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Mexican/Mexican American/Chicano/Chicana,"Filipino,A Pacific Islander Race not listed",1st,No,Student,Yes,,No,c,b,f,f,b,e,a,f,d,a,f,d,b,a,e,g,g,h,d,h,c,e,f,a,d,b,f,d,c,d,b,e,b,e,e,c,b,b,b,g,b,b,a,b,a,d,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,Black or African American,Graduate,No,Student,No,,Yes,d,f,b,c,g,b,g,h,a,g,h,d,f,h,c,g,b,g,c,i,f,h,c,d,a,i,e,c,f,a,g,e,f,b,e,f,b,a,c,e,g,h,c,b,c,a,d,h,g,b,a,b,c,e,h,e,f,a,a,c,b,d,f,g,b,e,i,e,b,d,d,h,b,e,g,d,c,g,a,f,d,b,a,b,f,b,d,a,g,f,e,a,b,c
Woman,No Answer,"White,Black or African American",1st,No,Student,Yes,,Yes,a,b,c,g,b,e,f,g,b,a,e,d,b,a,b,c,g,h,d,f,i,b,f,b,a,a,g,d,b,a,e,b,e,b,e,c,b,d,d,a,d,e,d,a,a,a,a,b,d,f,f,d,c,b,g,d,b,e,d,a,e,b,c,a,h,i,f,d,e,g,b,f,a,a,d,e,a,c,b,a,d,b,b,b,d,c,a,h,b,d,b,a,a,c
Man,Not of Hispanic/Latinx/Spanish origin,White,1st,No,Student,Yes,,No,a,b,c,f,b,c,e,f,d,b,g,d,b,a,e,c,b,g,a,i,h,e,g,b,f,a,g,d,b,e,b,d,e,e,b,c,a,b,e,a,c,b,d,b,b,c,c,a,b,g,g,b,c,e,e,d,a,g,d,b,a,e,c,b,h,d,f,f,e,g,b,f,e,g,d,b,a,b,b,e,b,a,c,c,b,d,a,b,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,Yes,a,b,e,g,b,c,e,f,d,b,f,d,b,a,e,c,b,g,d,f,f,e,g,b,f,a,f,d,b,a,f,f,e,c,a,c,a,b,f,d,i,i,d,d,d,d,d,a,f,a,b,e,a,c,d,b,d,h,g,e,e,d,b,g,a,g,h,d,f,d,b,a,f,a,e,d,a,f,d,b,e,b,e,b,f,c,a,h,c,e,a,c,c,e
Man,Not of Hispanic/Latinx/Spanish origin,White,3rd,No,Student,Yes,,Yes,b,c,f,f,d,f,b,g,d,a,g,d,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,b,a,c,e,b,d,a,f,b,d,b,b,a,a,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,b,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,f,b,d,b,b,a,a
Man,Not of Hispanic/Latinx/Spanish origin,"Chinese,Filipino",2nd,No,Student,No,,I do not know,c,f,g,c,a,g,c,c,g,h,a,d,g,d,f,b,g,b,h,c,g,d,d,h,b,h,b,b,f,f,b,f,c,f,a,e,a,c,c,h,b,g,h,b,c,b,d,a,g,f,f,e,e,e,d,d,f,f,d,f,d,e,d,c,i,b,c,g,b,f,b,f,d,e,f,d,c,c,b,d,e,b,d,b,c,b,e,c,a,f,b,d,a,e
Woman,Not of Hispanic/Latinx/Spanish origin,White,1st,No,Student,Yes,,No,a,b,f,g,b,c,e,g,d,b,g,d,b,a,e,c,b,h,c,f,g,e,g,e,a,d,g,d,b,e,e,e,e,d,b,d,e,c,e,d,d,g,c,b,b,c,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,Black or African American,3rd,Yes,Student,Yes,,Yes,b,b,a,b,d,g,e,c,g,e,d,f,a,f,b,f,h,i,a,b,c,h,b,g,b,b,d,d,b,g,g,d,b,a,e,e,b,f,c,g,i,g,g,d,e,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,Not of Hispanic/Latinx/Spanish origin,Vietnamese,3rd,Yes,Student,Yes,,Yes,a,b,c,f,b,e,f,f,d,c,g,d,b,a,e,c,b,h,d,i,f,e,g,b,f,a,g,d,b,e,b,e,e,e,b,a,c,b,e,a,f,b,d,a,a,a,b,a,b,c,g,f,e,f,f,d,d,a,d,a,b,b,a,h,f,c,d,b,a,e,b,c,b,b,a,f,e,c,c,e,e,e,c,a,b,e,f,d,b,a,a,a,b,b
Woman,Not of Hispanic/Latinx/Spanish origin,White,2nd,No,Student,Yes,,Yes,d,b,g,a,g,c,h,b,g,f,c,f,b,c,h,b,i,f,f,h,e,i,c,b,i,c,h,b,g,d,d,b,b,c,f,b,e,b,b,i,c,b,i,b,d,b,b,f,h,c,a,d,g,b,g,c,b,h,d,g,c,i,d,b,h,b,f,e,i,d,h,d,a,g,c,d,a,g,c,g,d,a,e,b,f,b,a,i,d,f,a,b,a,d
Man,Not of Hispanic/Latinx/Spanish origin,Filipino,2nd,No,Student,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,e,e,e,d,c,e,c,c,d,d,d,e,a,e,d,f,e,d,e,b,f,g,g,f,f,d,d,e,d,d,a,a,d,b,b,c,a,a,a,a,a,a,a,a,a,a
No Answer,No Answer,No Answer,2nd,No,Student,Yes,,No Answer,c,d,d,f,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,e,i,h,h,a,g,e,f,b,g,f,c,b,f,a,b,d,g,i,c,e,e,e,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,Not of Hispanic/Latinx/Spanish origin,"White,Middle Eastern or North African",2nd,No,Student,Yes,,Yes,a,b,c,g,d,c,f,f,d,b,g,e,b,a,e,c,b,h,c,f,c,e,g,f,e,a,g,d,c,a,f,b,a,e,b,d,d,b,d,d,c,b,d,c,c,a,a,b,b,c,f,e,g,e,f,f,a,f,d,c,d,c,g,e,c,c,f,b,e,c,b,f,e,d,f,d,c,c,c,b,f,d,c,c,c,d,d,c,g,d,b,a,b,a
Man,Not of Hispanic/Latinx/Spanish origin,"White,Chinese,Japanese",2nd,No,Student,Yes,,Yes,a,b,c,g,b,e,e,g,d,b,f,d,b,a,e,c,b,h,d,f,e,e,g,b,f,a,f,d,b,g,b,g,e,b,b,c,a,b,d,a,f,b,d,a,a,c,c,b,d,f,f,d,b,b,a,a,a,a,a,a,e,e,a,e,b,b,g,e,a,b,c,b,c,a,a,a,e,e,e,e,e,a,a,a,a,e,a,b,b,d,b,b,a,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
