Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
D,B,B,A,B,E,B,E,E,D,B,C,C,A,C,A,E,D,D,C,E,B,B,E,E,B,C,D,A,E,A,D,C,E,D,A,A,E,B,A,C,B,C,D,C,A,A,D,D,C,E,D,B,A,C,B,B,E,B,E
A,B,B,A,C,A,B,E,C,A,C,B,B,D,C,C,B,D,A,C,C,B,D,C,D,B,B,E,B,E,A,D,B,E,D,A,A,E,E,A,D,B,B,A,C,A,A,D,E,D,C,A,D,C,E,B,C,D,B,E
C,C,A,A,E,A,B,D,D,C,C,B,A,B,C,A,B,E,E,C,C,A,D,C,D,A,A,D,D,E,C,A,C,E,D,A,B,B,D,A,C,B,C,D,C,A,B,D,E,C,C,A,B,A,C,D,C,D,B,C
D,D,B,E,D,A,C,A,B,D,B,B,C,A,C,A,A,E,E,C,D,A,B,C,B,B,A,E,A,E,D,D,A,E,E,B,E,E,E,A,B,B,C,B,C,A,A,D,E,C,E,D,B,C,E,B,C,D,B,E
C,E,B,E,D,B,C,B,B,A,C,B,C,C,C,A,B,D,D,E,E,A,D,A,C,E,B,D,E,E,C,E,C,A,D,B,B,B,B,A,D,B,D,D,C,A,B,D,E,D,E,D,E,A,C,E,E,E,B,E
C,B,A,A,E,B,D,E,B,D,B,C,C,C,C,C,A,B,E,D,C,A,B,A,D,A,A,D,B,E,C,D,C,A,D,B,B,B,B,A,D,B,C,C,C,A,A,D,C,D,C,A,B,A,A,A,A,E,D,E
A,D,E,A,E,B,B,E,B,D,B,C,C,B,C,A,B,E,D,A,C,D,A,A,E,B,A,D,A,E,A,D,A,A,D,B,E,E,B,D,C,B,C,B,C,A,A,D,D,A,A,D,A,A,C,D,C,D,B,E
D,A,B,E,E,B,B,A,B,E,C,B,C,A,C,C,A,D,E,A,E,D,E,B,B,A,A,D,A,B,B,D,B,A,E,B,B,A,B,A,C,B,B,A,C,A,A,E,D,A,E,A,B,A,E,A,A,D,B,E
D,B,B,A,D,B,B,B,B,E,B,B,C,C,C,D,E,E,C,C,D,D,D,A,D,D,C,D,A,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,D,A,B,C,E,B,D,B,C,B,B,B,C,A,C,D,B,C,C,C,D,B,D,E,C,D,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,B,A,D,C,D,B,E,D,C,C,B,B,C,C,A,C,A,C,E,D,A,A,B,A,C,D,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,C,E,B,B,B,B,E,A,D,B,D,D,A,A,B,B,E,D,E,B,B,A,C,D,C,E,B,C
